artist,title,musicChart,year/decade
Katy Perry,California Gurls ft. Snoop Dogg,YouTube,2010
Eminem,No Love ft. Lil Wayne,YouTube,2010
Pablo Alborán,Solamente Tú,YouTube,2010
Juan Gabriel,Así Fue (En Vivo [Desde el Instituto Nacional de Bellas Artes]),YouTube,2010
The Black Eyed Peas,The Time (Dirty Bit),YouTube,2010
Nelly,Just A Dream,YouTube,2010
CantaJuego,La Mane,YouTube,2010
Eminem,The Real Slim Shady,YouTube,2010
Justin Bieber,Somebody To Love Remix ft. Usher,YouTube,2010
Travie McCoy,Billionaire,YouTube,2010
Lady Gaga,Alejandro,YouTube,2010
"Sean Kingston, Justin Bieber",Eenie Meenie,YouTube,2010
Christina Perri,Jar of Hearts ,YouTube,2010
Justin Bieber,Love Me,YouTube,2010
Alexandra Stan,Mr. Saxobeat,YouTube,2010
Lady Gaga,Telephone ft. Beyoncé,YouTube,2010
Enrique Iglesias,No Me Digas Que No,YouTube,2010
Avril Lavigne,Complicated,YouTube,2010
Maroon 5,Misery,YouTube,2010
Flo Rida,Club Can't Handle Me ft. David Guetta,YouTube,2010
Alejandro Sanz,Amiga Mia,YouTube,2010
Ed Sheeran,The A Team,YouTube,2010
Alejandro Fernández,Me Dedique A Perderte,YouTube,2010
Phil Collins,Another Day In Paradise,YouTube,2010
Camila,Aléjate De Mi,YouTube,2010
The Lonley Island,I Just Had Sex,YouTube,2010
Michael Jackson,Smooth Criminal,YouTube,2010
Skrillex,Scary Monsters And Nice Sprites,YouTube,2010
B.o.B,Nothin' On You (feat. Bruno Mars),YouTube,2010
Wiz Khalifa,Black And Yellow,YouTube,2010
The Black Eyed Peas,Meet Me Halfway,YouTube,2010
David Guetta,Memories,YouTube,2010
"Thalia, Pedro Capó",Estoy Enamorado,YouTube,2010
Taylor Swift,Mine,YouTube,2010
Jeremih,Down On Me ft. 50 Cent,YouTube,2010
Enrique Iglesias,I Like It,YouTube,2010
Wisin & Yandel,Estoy Enamorado,YouTube,2010
Elton John,Sacrifice,YouTube,2010
Justin Bieber,Never Let You Go,YouTube,2010
Crazy Frog,Crazy Frog In The House,YouTube,2010
The Gummy Bear,La La La I Love You,YouTube,2010
"Diddy, Dirty Money",Coming Home ft. Skylar Grey,YouTube,2010
Santana,Maria Maria ft. The Product G&B,YouTube,2010
Usher,DJ Got Us Fallin' In Love ft. Pitbull,YouTube,2010
We Are The World 25 For Haiti,Official Video,YouTube,2010
Lil Wayne,Drop The World ft. Eminem,YouTube,2010
Chris Brown,Yeah 3x,YouTube,2010
Aventura,El Malo,YouTube,2010
Maná,Mariposa traicionera (Video),YouTube,2010
Selena Gomez & The Scene,A Year Without Rain,YouTube,2010
Katy Perry,Teenage Dream,YouTube,2010
Pitbull,Hey Baby (Drop It To The Floor) ft. T-Pain,YouTube,2010
Ne-Yo,One In A Million,YouTube,2010
Gigi D'Agostino,L'Amour Toujoursm,YouTube,2010
Grupo Revelação,Deixa Acontecer,YouTube,2010
Wisin & Yandel,Te Siento,YouTube,2010
Skillet,Hero,YouTube,2010
Tinie Tempah,Written In The Stars ft. Eric Turner,YouTube,2010
Goo Goo Dolls,Iris ,YouTube,2010
David Guetta & Chris Willis Feat. Fergie & LMFAO,Gettin' Over You,YouTube,2010
OneRepublic,Secrets,YouTube,2010
Crazy Frog,Last Christmas,YouTube,2010
Far East Movement,Like A G6,YouTube,2010
P!nk,Raise Your Glass,YouTube,2010
Stromae,Alors On Danse,YouTube,2010
Mohombi,Bumpy Ride,YouTube,2010
Miley Cyrus,Can't Be Tamed,YouTube,2010
HA-ASH,Qué hago Yo?,YouTube,2010
Phil Collins,In The Air Tonight,YouTube,2010
Ciara ft. Ludacris,Ride,YouTube,2010
Taio Cruz,Break Your Heart ft. Ludacris,YouTube,2010
Taio Cruz,Dynamite,YouTube,2010
Heart,Alone,YouTube,2010
Sin Bandera,Mientes Tan Bien,YouTube,2010
The Band Perry,If I Die Young,YouTube,2010
Shontelle,Impossible,YouTube,2010
The Catalyst,Linkin Park,YouTube,2010
Katy Perry,Roar,YouTube,2013
OneRepublic,Counting Stars,YouTube,2013
Avicii,Wake Me Up,YouTube,2013
MAGIC!,Rude,YouTube,2013
John Legend,All of Me,YouTube,2013
Romeo Santos,Propuesta Indecente,YouTube,2013
Ellie Goulding,Burn,YouTube,2013
Martin Garrix,Animals,YouTube,2013
PSY,GENTLEMAN,YouTube,2013
Pitbull,Timber ft. Ke$ha,YouTube,2013
P!nk,Just Give Me A Reason,YouTube,2013
Prince Royce,Darte un Beso,YouTube,2013
Pharrell Williams,Happy,YouTube,2013
Miley Cyrus,Wrecking Ball,YouTube,2013
Naughty Boy,La la la,YouTube,2013
Eminem,Rap God,YouTube,2013
David Guetta,Play Hard,YouTube,2013
Arctic Monkeys,Do I Wanna Know?,YouTube,2013
Ylvis,The Fox (What Does The Fox Say?),YouTube,2013
Marc Anthony,Vivir Mi Vida,YouTube,2013
Miley Cyrus,We Can't Stop,YouTube,2013
Rihanna,Stay,YouTube,2013
Mike WiLL Made-It,23,YouTube,2013
Bruno Mars,When I Was Your Man,YouTube,2013
Lorde,Royals,YouTube,2013
One Direction,Story of My Life,YouTube,2013
Calvin Harris,I Need Your Love,YouTube,2013
Imagine Dragons,Demons,YouTube,2013
John Newman,Love Me Again,YouTube,2013
MACKLEMORE & RYAN LEWIS,CAN'T HOLD US,YouTube,2013
Idina Menzel,Let It Go,YouTube,2013
Eminem ft. Rihanna,The Monster,YouTube,2013
Stromae,Papaoutai,YouTube,2013
Selena Gomez,Come & Get It,YouTube,2013
One Direction,Best Song Ever,YouTube,2013
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,YouTube,2013
Justin Timberlake,Mirrors,YouTube,2013
Indila,Dernière Danse,YouTube,2013
Demi Lovato,Let It Go,YouTube,2013
Demi Lovato,Heart Attack,YouTube,2013
Enrique Iglesias,Loco ft. Romeo Santos,YouTube,2013
Clean Bandit,Rather Be ft. Jess Glynne,YouTube,2013
Bastille,Pompeii,YouTube,2013
Toto,Africa,YouTube,2013
Pitbull ft. Christina Aguilera,Feel This Moment,YouTube,2013
Milky Chance,Stolen Dance (Album Version),YouTube,2013
Beyoncé,Drunk in Love,YouTube,2013
Taylor Swift,22,YouTube,2013
Katy Perry,Unconditionally,YouTube,2013
Silva Gunbardhi,Te ka lali shpirt,YouTube,2013
Pablo Alboran,Donde Está El Amor,YouTube,2013
Anna Kendrick,Cups,YouTube,2013
Bruno Mars,Treasure,YouTube,2013
Tom Odell,Another Love,YouTube,2013
Daft Punk,Get Lucky,YouTube,2013
Banda Los Recoditos,Mi Último Deseo,YouTube,2013
Avicii,Hey Brother,YouTube,2013
"A Great Big World, Christina Aguilera",Say Something,YouTube,2013
DVBBS & Borgeous,TSUNAMI,YouTube,2013
Capital Cities,Safe And Sound,YouTube,2013
One Direction,Kiss You,YouTube,2013
Jason Derulo,Talk Dirty,YouTube,2013
BANDA MS,HERMOSA EXPERIENCIA,YouTube,2013
Drake,Started From The Bottom,YouTube,2013
Maître Gims,Bella,YouTube,2013
Hala Al Turk,Happy Happy,YouTube,2013
Jesús Adrián Romero feat. Marcela Gándara,Tú estás aquí,YouTube,2013
Nico & Vinz,Am I Wrong,YouTube,2013
Marcela Gandara,Supe Que Me Amabas,YouTube,2013
Hozier,Take Me To Church,YouTube,2013
One Direction,One Way Or Another (Teenage Kicks),YouTube,2013
Banda Tierra Sagrada,La buena y la mala (el dilema),YouTube,2013
Alejandro Fernández,Hoy Tengo Ganas De Ti,YouTube,2013
León Larregui,Brillas,YouTube,2013
Gloria Trevi,No Querías Lastimarme,YouTube,2013
AC/DC,Highway to Hell,YouTube,2013
Ariana Grande,The Way ft. Mac Miller,YouTube,2013
"Earth, Wind & Fire",September,YouTube,2013
Lana Del Rey,Young and Beautiful,YouTube,2013
Green Day,Boulevard Of Broken Dreams,YouTube,2013
Plan B,Candy,YouTube,2013
"Shreya Ghoshal, Udit Narayan, Vishal Dadlani & Shekhar Ravjiani",Radha,YouTube,2013
Baby Rasta y Gringo,Me Niegas,YouTube,2013
Rihanna,Pour It Up,YouTube,2013
Vance Joy,'Riptide',YouTube,2013
Nicky Jam,Voy a Beber,YouTube,2013
Lady Gaga,Applause,YouTube,2013
Oasis,Wonderwall,YouTube,2013
La Reine des Neiges,"Libérée, délivrée",YouTube,2013
The Neighbourhood,Sweater Weather,YouTube,2013
Daft Punk,Instant Crush,YouTube,2013
Iggy Azalea,Work,YouTube,2013
Selena Gomez,Slow Down,YouTube,2013
Jesse & Joy,Llorar (feat. Mario Domm),YouTube,2013
Imran Khan,Satisfya,YouTube,2013
YG,"My Nigga ft. Jeezy, Rich Homie Quan",YouTube,2013
Lil Wayne,"Love Me ft. Drake, Future",YouTube,2013
Maluma,La Temperatura ft. Eli Palacios,YouTube,2013
Britney Spears,Work B**ch,YouTube,2013
Shakira,Chantaje,YouTube,2016
The Chainsmokers,Closer,YouTube,2016
Charlie Puth,We Don't Talk Anymore,YouTube,2016
Calvin Harris,This Is What You Came For,YouTube,2016
Clean Bandit,Rockabye,YouTube,2016
Fifth Harmony,Work from Home,YouTube,2016
Shawn Mendes,Treat You Better,YouTube,2016
Ariana Grande,Side To Side,YouTube,2016
The Weeknd,Starboy,YouTube,2016
Marshmello,Alone,YouTube,2016
Ricky Martin,Vente Pa' Ca,YouTube,2016
CNCO,Reggaetón Lento (Bailemos),YouTube,2016
The Chainsmokers,Don't Let Me Down,YouTube,2016
Chino & Nacho,Andas En Mi Cabeza,YouTube,2016
Sia,Cheap Thrills,YouTube,2016
Nicky Jam,Hasta el Amanecer,YouTube,2016
Daddy Yankee,Shaky Shaky,YouTube,2016
twenty one pilots,Heathens,YouTube,2016
Danny Ocean,Me Rehúso,YouTube,2016
"Carlos Vives, Shakira",La Bicicleta,YouTube,2016
Coldplay,Hymn For The Weekend,YouTube,2016
Bruno Mars,24K Magic,YouTube,2016
Mike Posner,I Took A Pill In Ibiza,YouTube,2016
Maluma,El Perdedor,YouTube,2016
Justin Timberlake,CAN'T STOP THE FEELING!,YouTube,2016
James Arthur,Say You Won't Let Go,YouTube,2016
Rihanna,Work,YouTube,2016
Rag'n'Bone Man,Human,YouTube,2016
Alan Walker,Alone,YouTube,2016
MC Kevinho,Olha a Explosão (KondZilla),YouTube,2016
Maluma,Sin Contrato,YouTube,2016
Major Lazer,Cold Water,YouTube,2016
Zion & Lennox,Otra Vez,YouTube,2016
ZAYN,PILLOWTALK,YouTube,2016
Enrique Iglesias,DUELE EL CORAZON,YouTube,2016
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz,Tu No Vive Asi,YouTube,2016
Maluma,"Cuatro Babys ft. Trap Capos, Noriel, Bryant Myers, Juhn",YouTube,2016
Migos,Bad and Boujee,YouTube,2016
Mile Ho Tum,Reprise Version | Neha Kakkar | Tony Kakkar | Fever,YouTube,2016
J Balvin,Safari,YouTube,2016
DJ Snake ft. Justin Bieber,Let Me Love You,YouTube,2016
JoJo Siwa,BOOMERANG,YouTube,2016
Thalía,Desde Esa Noche,YouTube,2016
BLACKPINK,붐바야 (BOOMBAYAH),YouTube,2016
DJ Snake ft. Justin Bieber,Let Me Love You,YouTube,2016
Rae Sremmurd,Black Beatles ft. Gucci Mane,YouTube,2016
Ariana Grande,Into You,YouTube,2016
Ozuna,Te Vas,YouTube,2016
Auli'i Cravalho,How Far I'll Go,YouTube,2016
Era Istrefi,Bonbon,YouTube,2016
Jennifer Lopez,Ain't Your Mama,YouTube,2016
Bad Bunny,Soy Peor,YouTube,2016
Farruko,Chillax ft. Ky-Mani Marley,YouTube,2016
Adexe y Nau,Andas En Mi Cabeza (Chino & Nacho ft. Daddy Yankee Cover),YouTube,2016
Ozuna,Dile Que Tu Me Quieres,YouTube,2016
Lil Wayne,Sucker for Pain,YouTube,2016
Sia,The Greatest,YouTube,2016
BTS,FIRE (불타오르네),YouTube,2016
Piso 21,Me llamas,YouTube,2016
Meet bros,Cham Cham,YouTube,2016
Jonas Blue,Perfect Strangers,YouTube,2016
Adele,Send My Love (To Your New Lover),YouTube,2016
Alvaro Soler,Sofia,YouTube,2016
"Amar Arshi, Badshah & Neha Kakka",Kala Chashma,612360787,250875
Shakira,Try Everything,610671655,95810
Kamal Kahlon & Param Singh,Daru Badnaam,609792280,475157
"La Ocasión,De La Ghetto", Arcangel,YouTube,2016
CNCO,Quisiera,YouTube,2016
Arijit Singh,Nashe Si Chadh Gayi,YouTube,2016
Future,Low Life,YouTube,2016
Alan Walker,Sing Me To Sleep,YouTube,2016
IAmChino,Ay Mi Dios,YouTube,2016
Diles,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow",YouTube,2016
Meghan Trainor,Me Too,YouTube,2016
Justin Bieber,Company,YouTube,2016
Dwayne Johnson,You're Welcome,YouTube,2016
J Balvin,Bobo,YouTube,2016
Desiigner,Panda,YouTube,2016
BTS,피 땀 눈물 (Blood Sweat & Tears),YouTube,2016
Meghan Trainor,NO,YouTube,2016
Galantis,No Money,YouTube,2016
Burak Yeter,Tuesday,YouTube,2016
Ariana Grande,Dangerous Woman,YouTube,2016
Martin Garrix & Bebe Rexha,In The Name Of Love,YouTube,2016
NO LO HICE BIEN,Los Plebes del Rancho de Ariel Camacho,YouTube,2016
TWICE,TT,YouTube,2016
gnash,"i hate u, i love u",YouTube,2016
Hallelujah,Pentatonix,YouTube,2016
Bumbum Granada,MCs Zaac e Jerry (KondZilla),YouTube,2016
Maroon 5,Don't Wanna Know,YouTube,2016
คำแพง,แซ็ค ชุมแพ,YouTube,2016
Marília Mendonça,Eu Sei De Cor,YouTube,2016
Selena Gomez,Kill Em With Kindness,YouTube,2016
BLACKPINK,불장난 (PLAYING WITH FIRE),YouTube,2016
Pawni Pandey,Laila Main Laila,YouTube,2016
Emrah Karaduman,Cevapsız Çınlama,YouTube,2016
BTS,Save ME,YouTube,2016
Sebastián Yatra,Traicionera,YouTube,2016
BLACKPINK,휘파람(WHISTLE),YouTube,2016
Bruno Mars,The Lazy Song,YouTube,2011
LMFAO,Party Rock Anthem,YouTube,2011
Christina Perri,A Thousand Years,YouTube,2011
Jennifer Lopez,On The Floor,YouTube,2011
Adele,Someone Like You,YouTube,2011
Gotye,Somebody That I Used To Know,YouTube,2011
Coldplay,Paradise,YouTube,2011
Katy Perry,Last Friday Night,YouTube,2011
David Guetta,Titanium ft. Sia,YouTube,2011
One Direction,What Makes You Beautiful,YouTube,2011
Pitbull,Rain Over Me,YouTube,2011
Michel Teló,Ai Se Eu Te Pego,YouTube,2011
Rihanna,We Found Love ft. Calvin Harris,YouTube,2011
Hariharan,Shree Hanuman Chalisa,YouTube,2011
Nicki Minaj,Super Bass,YouTube,2011
4 Non Blondes,What's Up,YouTube,2011
Coldplay,The Scientist,YouTube,2011
Jesse & Joy,¡Corre!,YouTube,2011
Katy Perry,The One That Got Away,YouTube,2011
Fun.,We Are Young,YouTube,2011
LMFAO,Sexy and I Know It,YouTube,2011
Pitbull,Give Me Everything,YouTube,2011
Dr. Dre ft. Snoop Dogg,Still D.R.E.,YouTube,2011
Pitbull,International Love,YouTube,2011
Rihanna,Man Down,YouTube,2011
Jessie J,Price Tag,YouTube,2011
Maroon 5,Moves Like Jagger,YouTube,2011
R.E.M.,Losing My Religion,YouTube,2011
Bruno Mars,It Will Rain,YouTube,2011
Foster The People,Pumped up Kicks,YouTube,2011
Michael Jackson,Beat It,YouTube,2011
Adele,Set Fire To The Rain,YouTube,2011
Selena Gomez & The Scene,Love You Like A Love Song,YouTube,2011
Don Omar,Taboo,YouTube,2011
Katy Perry,E.T.,YouTube,2011
Snoop Dogg & Wiz Khalifa,"Young, Wild and Free ft. Bruno Mars",YouTube,2011
Chris Brown,"Look At Me Now ft. Lil Wayne, Busta Rhymes",YouTube,2011
HA-ASH,Te Dejo En Libertad (En Vivo),YouTube,2011
Avicii,Levels,YouTube,2011
Beyoncé,Run the World (Girls),YouTube,2011
Red Hot Chili Peppers,Otherside,YouTube,2011
Wiz Khalifa,"Black And Yellow [G-Mix] ft. Snoop Dogg, Juicy J & T-Pain",YouTube,2011
Lana Del Rey,Born To Die,YouTube,2011
Gym Class Heroes,Stereo Hearts,YouTube,2011
Coldplay,Yellow,YouTube,2011
Skrillex,First Of The Year (Equinox),YouTube,2011
Beyoncé,Love On Top,YouTube,2011
Hala Alturk & Mashael,Bnayty ElHabooba,YouTube,2011
Flo Rida,Good Feeling,YouTube,2011
Jennifer Lopez,Papi,YouTube,2011
XÚC XẮC XÚC XẺ,BÉ BẢO AN ft PHI LONG,YouTube,2011
Justin Bieber,Mistletoe,YouTube,2011
Cali Y El Dandee,Yo Te Esperaré,YouTube,2011
Zoé,Labios Rotos,YouTube,2011
Dr. Dre,I Need A Doctor,YouTube,2011
Avril Lavigne,Wish You Were Here,YouTube,2011
Coldplay,Fix You,YouTube,2011
Yuridia,Ya Te Olvidé,YouTube,2011
Lady Antebellum,Need You Now,YouTube,2011
Sean Paul,She Doesn't Mind,YouTube,2011
Sean Paul,Got 2 Luv U,YouTube,2011
Kelly Clarkson,Stronger (What Doesn't Kill You),YouTube,2011
Lady Gaga,Judas,YouTube,2011
Beyoncé,Best Thing I Never Had,YouTube,2011
David Guetta,Without You ft. Usher,YouTube,2011
Axel,Te Voy A Amar,YouTube,2011
Avril Lavigne,What The Hell,YouTube,2011
Bum Bum Bole Film,"Taare Zameen Par | Shaan, Aamir Khan",YouTube,2011
Franco De Vita,Tan Sólo Tú ft. Alejandra Guzmán,YouTube,2011
Maná,Amor Clandestino,YouTube,2011
Jessie J,Domino,YouTube,2011
Selena Gomez & The Scene,Who Says,YouTube,2011
Eminem,Space Bound,YouTube,2011
Juan Gabriel,Hasta Que Te Conocí (En Vivo [Desde el Instituto Nacional de Bellas Artes]),YouTube,2011
Wiz Khalifa,Roll Up,YouTube,2011
Jennifer Lopez,I'm Into You,YouTube,2011
Coldplay,Clocks,YouTube,2011
David Guetta,"Where Them Girls At ft. Nicki Minaj, Flo Rida",YouTube,2011
Maher Zain,Ya Nabi Salam Alayka (Arabic),YouTube,2011
M83,Midnight City,YouTube,2011
Rihanna,California King Bed,YouTube,2011
Red Hot Chili Peppers,Scar Tissue,YouTube,2011
DADDY YANKEE,LLEGAMOS A LA DISCO,YouTube,2011
"Alka Yagnik, Udit Narayan",Lal Dupatta,YouTube,2011
Ed Sheeran,Lego House,YouTube,2011
Marc Anthony,A Quién Quiero Mentirle,YouTube,2011
Chris Brown,Next To You ft. Justin Bieber,YouTube,2011
The Notorious B.I.G.,Juicy,YouTube,2011
Demi Lovato,Skyscraper,YouTube,2011
Romeo Santos,Promise ft. Usher,YouTube,2011
Lady Gaga,Born This Way,YouTube,2011
Britney Spears,I Wanna Go,YouTube,2011
Shakira,Rabiosa ft. Pitbull,YouTube,2011
2NE1,I AM THE BEST,YouTube,2011
LMFAO,Champagne Showers ft. Natalia Kills,YouTube,2011
Backstreet Boys,As Long As You Love Me (Clive's Cut),YouTube,2011
The Black Eyed Peas,Just Can't Get Enough,YouTube,2011
2Pac,Dear Mama,YouTube,2011
Girls' Generation,The Boys,YouTube,2011
Calvin Harris,Feel So Close,YouTube,2011
Mark Ronson,Uptown Funk,YouTube,2014
Ed Sheeran,Thinking Out Loud,YouTube,2014
Taylor Swift,Shake It Off,YouTube,2014
Enrique Iglesias,Bailando,YouTube,2014
Katy Perry,Dark Horse,YouTube,2014
Taylor Swift,Blank Space,YouTube,2014
Meghan Trainor,All About That Bass,YouTube,2014
Sia,Chandelier,YouTube,2014
Idina Menzel,Let It Go,YouTube,2014
J. Balvin,Ay Vamos,YouTube,2014
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,YouTube,2014
Calvin Harris,Summer,YouTube,2014
Sam Smith,I'm Not The Only One,YouTube,2014
Ariana Grande,Problem,YouTube,2014
AronChupa,I'm an Albatraoz,YouTube,2014
Shakira,La La La,YouTube,2014
J Balvin,6 AM,YouTube,2014
Ariana Grande,Break Free,YouTube,2014
Sam Smith,Stay With Me,YouTube,2014
Shakira,Can't Remember to Forget You,YouTube,2014
Travesuras,Nicky Jam,YouTube,2014
Enrique Iglesias,El Perdedor,YouTube,2014
Iggy Azalea & Charli XCX,Fancy,YouTube,2014
Chris Brown,Loyal,YouTube,2014
"DJ Snake, Lil Jon",Turn Down for What,YouTube,2014
Nicki Minaj,Anaconda,YouTube,2014
Los Ángeles Azules,Mis Sentimientos ft. Ximena Sariñana,YouTube,2014
David Guetta & Showtek,Bad,YouTube,2014
Romeo Santos,Eres Mía,YouTube,2014
Jason Derulo,Wiggle,YouTube,2014
Rahat Fateh Ali Khan,Zaroori Tha,YouTube,2014
Rae Sremmurd,No Type,YouTube,2014
Wisin,Adrenalina,YouTube,2014
Tove Lo,Habits,YouTube,2014
Ha*Ash,'Perdón,YouTube,2014
Katy Perry,This Is How We Do,YouTube,2014
Pitbull ft. Jennifer Lopez & Claudia Leitte,We Are One (Ole Ola),YouTube,2014
Calvin Harris,Blame ft. John Newman,YouTube,2014
"OSMANI GARCIA Ft. PITBULL, SENSATO, DAYAMI LA MUSA",El Taxi Reggaeton Cubaton,YouTube,2014
Fetty Wap,Trap Queen Prod. By Tony Fadd,YouTube,2014
Selena Gomez,The Heart Wants What It Wants,YouTube,2014
Maroon 5,Animals,YouTube,2014
"Ariana Grande, The Weeknd",Love Me Harder,YouTube,2014
Bobby Shmurda,Hot N*gga,YouTube,2014
"Dillon Francis, DJ Snake",Get Low,YouTube,2014
Pharrell Williams,Happy,YouTube,2014
Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix),YouTube,2014
BANDA MS,NO ME PIDAS PERDÓN,YouTube,2014
Iggy Azalea,Black Widow ft. Rita Ora,YouTube,2014
The Chainsmokers,#SELFIE,YouTube,2014
"Dimitri Vegas, Martin Garrix, Like Mike",Tremor,YouTube,2014
Coldplay,A Sky Full Of Stars,YouTube,2014
Meghan Trainor,Lips Are Movin,YouTube,2014
Avicii,The Nights,YouTube,2014
Beyoncé,7/11,YouTube,2014
Ty Dolla $ign,Or Nah,YouTube,2014
Calvin Harris,Outside,YouTube,2014
Bole Chudiyan,K3G,YouTube,2014
David Guetta,Shot Me Down,YouTube,2014
Plan B,Mi Vecinita,YouTube,2014
G-Eazy,I Mean It ft. Remo,YouTube,2014
Marc Anthony,Flor Pálida,YouTube,2014
Kiesza,Hideaway,YouTube,2014
ARIEL CAMACHO,HABLEMOS,YouTube,2014
Romeo Santos,Cancioncitas de Amor,YouTube,2014
Tyga,Hookah ft. Young Thug,YouTube,2014
Rich Gang,Lifestyle,YouTube,2014
One Direction,You & I,YouTube,2014
Maroon 5,Maps,YouTube,2014
Remmy Valenzuela,Mi Princesa,YouTube,2014
Nicki Minaj,Only,YouTube,2014
Farruko,Passion Whine,YouTube,2014
Hussain Al Jassmi,Boshret Kheir,YouTube,2014
Alan Walker,Fade,YouTube,2014
BANDA MS,HABLAME DE TI,YouTube,2014
The Weeknd,Often (NSFW),YouTube,2014
Mr. Probz,Waves (Robin Schulz Remix Radio Edit),YouTube,2014
Los Ángeles Azules,17 Años ft. Jay De La Cueva,YouTube,2014
Robin Schulz,Sun Goes Down feat. Jasmine Thompson,YouTube,2014
Becky G,Shower,YouTube,2014
Travesuras Remix,"Nicky Jam Ft De La Ghetto, J balvin, Zion y Arcangel",YouTube,2014
Charli XCX,Boom Clap,YouTube,2014
ห้องนอน,Fridaynight to Sunday,YouTube,2014
Plan B,Fanatica Sensual,YouTube,2014
Kevin Roldan ft. Maluma Andy Rivera,Salgamos,YouTube,2014
OMI,Cheerleader,YouTube,2014
Pitbull,Como Yo Le Doy ft. Don Miguelo,YouTube,2014
Big Sean,I Don't Fuck With You,YouTube,2014
Jennifer Lopez,Booty,YouTube,2014
Hozier,Take Me To Church,YouTube,2014
PSY,HANGOVER,YouTube,2014
Afrojack & Martin Garrix,Turn Up The Speakers,YouTube,2014
Jassi Gill,Bapu Zimidar,YouTube,2014
WALK THE MOON,Shut Up and Dance,YouTube,2014
August Alsina,No Love,YouTube,2014
Kendji Girac,Andalouse,YouTube,2014
'Badshah,Aastha',YouTube,2014
BTS,Boy In Luv,YouTube,2014
Thương Lắm Thầy Cô Ơi!,Bé Phan Hiếu Kiên,YouTube,2014
Daddy Yankee & Snow,Con Calma,YouTube,2019
"ROSALÍA, J Balvin",Con Altura ft. El Guincho,YouTube,2019
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,YouTube,2019
Anuel AA & Karol G,Secreto,YouTube,2019
"Shawn Mendes, Camila Cabello",Señorita,YouTube,2019
"Jhay Cortez, J. Balvin, Bad Bunny",No Me Conoce (Remix),YouTube,2019
Maari 2,"Rowdy Baby | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",YouTube,2019
Billie Eilish,bad guy,YouTube,2019
BLACKPINK,Kill This Love,YouTube,2019
Dhvani Bhanushali & Nikhil D’Souza,Vaaste,YouTube,2019
Ariana Grande,7 rings,YouTube,2019
BTS,작은 것들을 위한 시 (Boy With Luv),YouTube,2019
Maluma,HP,YouTube,2019
TONES AND I,DANCE MONKEY,YouTube,2019
B praak,FILHALL,YouTube,2019
"Sam Smith, Normani",Dancing With A Stranger,YouTube,2019
Jass Manak,Lehanga,YouTube,2019
Nicky Jam,Te Robaré,YouTube,2019
Lil Nas X,Old Town Road - Remix,YouTube,2019
Lunay X Daddy Yankee X Bad Bunny,Soltera Remix,YouTube,2019
Maluma,11 PM,YouTube,2019
"Tainy, Anuel AA, Ozuna",Adicto,YouTube,2019
Sebastian Yatra,Un Año,YouTube,2019
"The Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),YouTube,2019
"KAROL G, Nicki Minaj",Tusa,YouTube,2019
Wisin & Yandel,Aullando,YouTube,2019
Lil Nas X,Old Town Road,YouTube,2019
Sech,Otro Trago,YouTube,2019
Bad Bunny,Callaíta,YouTube,2019
Daddy Yankee,Que Tire Pa Lante,YouTube,2019
Tony Kakkar Neha Kakkar,COCA COLA Song,YouTube,2019
Paulo Londra,Tal Vez,YouTube,2019
Millind Gaba,She Don't Know,YouTube,2019
Dheeme Dheeme,Tony Kakkar,YouTube,2019
Maroon 5,Memories,YouTube,2019
Dhurata Dora ft. Soolking,Zemër,YouTube,2019
Sukh-E Muzical Doctorz,COKA,YouTube,2019
"Camilo, Pedro Capó",Tutu,YouTube,2019
"Neha Kakkar, Tulsi Kumar & B Praak",O SAKI SAKI,YouTube,2019
Ed Sheeran & Justin Bieber,I Don't Care,YouTube,2019
Guaynaa,ReBoTa,YouTube,2019
Arijit Singh & Asees Kaur,Ve Maahi,YouTube,2019
